T=16.7, H=53.2, 20-Nov-2015, 13.15.02
T=16.7, H=53.4, 20-Nov-2015, 13.30.02
T=16.7, H=53.2, 20-Nov-2015, 13.45.03
T=16.7, H=52.8, 20-Nov-2015, 14.00.02
T=16.7, H=52.7, 20-Nov-2015, 14.15.05
T=16.7, H=52.7, 20-Nov-2015, 14.30.02
T=16.7, H=52.4, 20-Nov-2015, 14.45.05
T=16.6, H=52.2, 20-Nov-2015, 15.00.03
T=16.5, H=52.2, 20-Nov-2015, 15.15.08
T=16.5, H=52.2, 20-Nov-2015, 15.30.02
T=16.5, H=52.0, 20-Nov-2015, 15.45.03
T=16.4, H=51.8, 20-Nov-2015, 16.00.08
T=16.4, H=51.9, 20-Nov-2015, 16.15.02
T=16.4, H=51.5, 20-Nov-2015, 16.30.03
T=16.4, H=51.5, 20-Nov-2015, 16.45.03
T=16.4, H=51.8, 20-Nov-2015, 17.00.03
T=16.3, H=51.2, 20-Nov-2015, 17.15.05
T=16.3, H=50.8, 20-Nov-2015, 17.30.05
T=16.3, H=50.8, 20-Nov-2015, 17.45.03
T=16.3, H=50.8, 20-Nov-2015, 18.00.05
T=16.3, H=50.8, 20-Nov-2015, 18.15.10
T=16.3, H=50.8, 20-Nov-2015, 18.30.03
T=16.3, H=49.7, 20-Nov-2015, 18.45.05
T=16.2, H=49.6, 20-Nov-2015, 19.00.02
T=16.1, H=49.5, 20-Nov-2015, 19.15.08
T=16.2, H=49.4, 20-Nov-2015, 19.30.05
T=16.1, H=49.5, 20-Nov-2015, 19.45.03
T=16.1, H=49.1, 20-Nov-2015, 20.00.02
T=16.1, H=49.2, 20-Nov-2015, 20.15.02
T=16.0, H=48.7, 20-Nov-2015, 20.30.03
T=16.0, H=48.9, 20-Nov-2015, 20.45.02
T=16.1, H=50.1, 20-Nov-2015, 21.00.02
T=16.5, H=50.5, 20-Nov-2015, 21.15.08
T=16.7, H=51.0, 20-Nov-2015, 21.30.05
T=16.7, H=51.0, 20-Nov-2015, 21.45.03
T=16.7, H=49.9, 20-Nov-2015, 22.00.02
T=16.8, H=49.7, 20-Nov-2015, 22.15.08
T=16.8, H=49.7, 20-Nov-2015, 22.30.03
T=16.9, H=49.7, 20-Nov-2015, 22.45.05
T=16.9, H=49.7, 20-Nov-2015, 23.00.02
T=16.9, H=49.7, 20-Nov-2015, 23.15.03
T=17.0, H=49.6, 20-Nov-2015, 23.30.10
T=17.0, H=49.6, 20-Nov-2015, 23.45.03
T=17.0, H=49.5, 21-Nov-2015, 00.00.03
T=17.0, H=50.1, 21-Nov-2015, 00.15.02
T=16.9, H=50.3, 21-Nov-2015, 00.30.03
T=16.7, H=50.3, 21-Nov-2015, 00.45.02
T=16.6, H=50.8, 21-Nov-2015, 01.00.02
T=16.5, H=50.8, 21-Nov-2015, 01.15.03
T=16.4, H=50.9, 21-Nov-2015, 01.30.02
T=16.3, H=51.0, 21-Nov-2015, 01.45.03
T=16.3, H=51.0, 21-Nov-2015, 02.00.03
T=16.3, H=51.3, 21-Nov-2015, 02.15.02
T=16.2, H=51.2, 21-Nov-2015, 02.30.03
T=16.2, H=51.5, 21-Nov-2015, 02.45.03
T=16.2, H=51.2, 21-Nov-2015, 03.00.02
